"latitude_deg","longitude_deg","GPSQuality","altitude_m","altitudeQuality","time","FileName","TransducerName","TransducerNumber","ReportNumber","FirstPingNumber","LastPingNumber","BottomStatus","bottom_elevation_m","PlantStatus","plant_height_m","percent_coverage"
"49.7815293760427","-64.3572283750417","Differential","-0.1514214","1","2022-07-06 16:55:39.151000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","15","15","15","Valid","-5.25280666351318","Valid","0.656601","100"
"49.7815259891558","-64.3572268995662","Differential","-0.1172172","1","2022-07-06 16:55:39.352000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","16","16","16","Valid","-5.28736448287964","Valid","0.6393218","100"
"49.7815225685686","-64.3572254094094","Differential","-0.08267267","1","2022-07-06 16:55:39.555000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","17","17","17","Valid","-5.27008581161499","Valid","0.5356483","100"
"49.7815191834832","-64.3572239625375","Differential","-0.05080919","1","2022-07-06 16:55:39.756000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","18","18","18","Valid","-5.30464363098145","Valid","0.4492531","100"
"49.7815158035298","-64.3572231175491","Differential","-0.06906094","1","2022-07-06 16:55:39.959000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","19","19","19","Valid","-5.28736448287964","Valid","0.50109","100"
"49.7815124402264","-64.3572222767233","Differential","-0.08722278","1","2022-07-06 16:55:40.161000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","20","20","20","Valid","-5.27008581161499","Valid","0.5183692","100"
"49.7815090769231","-64.3572214358974","Differential","-0.1053846","1","2022-07-06 16:55:40.363000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","21","21","21","Valid","-5.25280666351318","Valid","0.5702062","100"
"49.7815057302697","-64.3572205992341","Differential","-0.1234565","1","2022-07-06 16:55:40.564000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","22","22","22","Valid","-5.25280666351318","Valid","0.5356479","100"
"49.7815023636667","-64.3572198033333","Differential","-0.14","1","2022-07-06 16:55:40.766000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","23","23","23","Valid","-5.20096969604492","Valid","0.5702057","100"
"49.7814989633333","-64.3572194666667","Differential","-0.14","1","2022-07-06 16:55:40.968000 GMT+00:00","20220706_165536.dt4","204.8 kHz 8.8° Single","1","24","24","24","Valid","-5.3392014503479","Valid","0.7257166","100"
