"Latitude_deg";"Longitude_deg";"GPSQuality";"Altitude_mReMsl";"AltitudeQuality";"Time";"FileName";"TransducerName";"TransducerNumber";"ReportNumber";"FirstPingNumber";"LastPingNumber";"BottomStatus";"BottomElevation_m";"PlantStatus";"PlantHeight_m";"PercentCoverage"
"49.7814141191667";"-64.3572822155";"Differential";"-0.13781";"1";"2022-07-06 16:55:46.821000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"53";"53";"53";"Valid";"-11.1688556671143";"Valid";"0.3469033";"100"
"49.7814125966667";"-64.357286986";"Differential";"-0.13172";"1";"2022-07-06 16:55:47.024000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"54";"54";"54";"Valid";"-11.1341652870178";"Valid";"0.2601771";"100"
"49.7814110816667";"-64.357291733";"Differential";"-0.12566";"1";"2022-07-06 16:55:47.226000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"55";"55";"55";"Valid";"-11.1515102386475";"Valid";"0.3122125";"100"
"49.7814095666667";"-64.35729648";"Differential";"-0.1196";"1";"2022-07-06 16:55:47.428000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"56";"56";"56";"Valid";"-11.2208909988403";"Valid";"0.3642483";"100"
"49.7814080666667";"-64.35730118";"Differential";"-0.1136";"1";"2022-07-06 16:55:47.628000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"57";"57";"57";"Valid";"-11.1862006187439";"Valid";"0.2948675";"100"
"49.7814067927928";"-64.3573060909243";"Differential";"-0.1158158";"1";"2022-07-06 16:55:47.831000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"58";"58";"58";"Valid";"-11.2208909988403";"Valid";"0.3469028";"100"
"49.7814058873874";"-64.3573111544878";"Differential";"-0.1298999";"1";"2022-07-06 16:55:48.032000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"59";"59";"59";"Valid";"-11.1862006187439";"Valid";"0.2601771";"100"
"49.781404972973";"-64.3573162684351";"Differential";"-0.1441241";"1";"2022-07-06 16:55:48.235000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"60";"60";"60";"Valid";"-11.1688556671143";"Valid";"0.2775226";"100"
"49.7814040675676";"-64.3573213319987";"Differential";"-0.1582082";"1";"2022-07-06 16:55:48.436000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"61";"61";"61";"Valid";"-11.2902717590332";"Valid";"0.450974";"100"
"49.7814031531531";"-64.357326445946";"Differential";"-0.1724324";"1";"2022-07-06 16:55:48.639000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"62";"62";"62";"Valid";"-11.1862006187439";"Valid";"0.3815932";"100"
"49.7814026510157";"-64.357331467366";"Differential";"-0.1828172";"1";"2022-07-06 16:55:48.841000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"63";"63";"63";"Valid";"-11.23823595047";"Valid";"0.3815932";"100"
"49.7814026177156";"-64.3573363624709";"Differential";"-0.1888112";"1";"2022-07-06 16:55:49.041000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"64";"64";"64";"Valid";"-11.1515102386475";"Valid";"0.3642483";"100"
"49.7814025839161";"-64.3573413310023";"Differential";"-0.1948951";"1";"2022-07-06 16:55:49.244000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"65";"65";"65";"Valid";"-11.0994749069214";"Valid";"0.2948675";"100"
"49.7814025504495";"-64.3573462505828";"Differential";"-0.2009191";"1";"2022-07-06 16:55:49.445000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"66";"66";"66";"Valid";"-11.1515102386475";"Valid";"0.3642483";"100"
"49.78140251665";"-64.3573512191142";"Differential";"-0.207003";"1";"2022-07-06 16:55:49.648000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"67";"67";"67";"Valid";"-11.1341652870178";"Valid";"0.2948675";"100"
"49.7814028198333";"-64.3573557708333";"Differential";"-0.21101";"1";"2022-07-06 16:55:49.849000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"68";"68";"68";"Valid";"-11.1341652870178";"Valid";"0.3642483";"100"
"49.7814034626667";"-64.35736";"Differential";"-0.21304";"1";"2022-07-06 16:55:50.052000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"69";"69";"69";"Valid";"-11.1862006187439";"Valid";"0.3469028";"100"
"49.7814041023333";"-64.3573642083333";"Differential";"-0.21506";"1";"2022-07-06 16:55:50.254000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"70";"70";"70";"Valid";"-11.1688556671143";"Valid";"0.3815937";"100"
"49.7814047388333";"-64.3573683958333";"Differential";"-0.21707";"1";"2022-07-06 16:55:50.455000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"71";"71";"71";"Valid";"-11.1688556671143";"Valid";"0.433629";"100"
"49.7814053753333";"-64.3573725833333";"Differential";"-0.21908";"1";"2022-07-06 16:55:50.656000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"72";"72";"72";"Valid";"-11.1862006187439";"Valid";"0.450974";"100"
"49.7814064259259";"-64.3573767777778";"Differential";"-0.2122222";"1";"2022-07-06 16:55:50.859000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"73";"73";"73";"Valid";"-11.1515102386475";"Valid";"0.4336286";"100"
"49.7814078008008";"-64.3573809024024";"Differential";"-0.1981381";"1";"2022-07-06 16:55:51.060000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"74";"74";"74";"Valid";"-11.1862006187439";"Valid";"0.3989387";"100"
"49.7814091825158";"-64.3573850475476";"Differential";"-0.183984";"1";"2022-07-06 16:55:51.262000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"75";"75";"75";"Valid";"-11.1515102386475";"Valid";"0.3642483";"100"
"49.7814105710711";"-64.3573892132132";"Differential";"-0.1697598";"1";"2022-07-06 16:55:51.465000 GMT+00:00";"20220706_165536.dt4";"204.8 kHz 8.8° Single";"1";"76";"76";"76";"Valid";"-11.2035460472107";"Valid";"0.450974";"100"
